sequence_sha256	joint_predicted_plddt_cutoff	accepted_chain_model_rows	excluded_chain_model_rows	accepted_entries	status	source_tier
87e11eed16e5eef1a5be3c5be754e77a0f2e76ff41d41913f2e98a6b111b0f5d	70	9	1	9	included	predictor-controls-summary-769-1152-v1
87e11eed16e5eef1a5be3c5be754e77a0f2e76ff41d41913f2e98a6b111b0f5d	90	0	10	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
8bf7784ea7d1c049bdb205d07f75d93f35ee4acec9266bab391a7d2fd35e30ca	0	29	1	27	included	predictor-controls-summary-769-1152-v1
8bf7784ea7d1c049bdb205d07f75d93f35ee4acec9266bab391a7d2fd35e30ca	70	0	30	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
8bf7784ea7d1c049bdb205d07f75d93f35ee4acec9266bab391a7d2fd35e30ca	90	0	30	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
a2a73e470c73305e1f6d4f4e9a9608684ce06e3dc24a05e8ab1a1b9cfc46a1b5	0	2	0	2	included	predictor-controls-summary-769-1152-v1
a2a73e470c73305e1f6d4f4e9a9608684ce06e3dc24a05e8ab1a1b9cfc46a1b5	70	2	0	2	included	predictor-controls-summary-769-1152-v1
a2a73e470c73305e1f6d4f4e9a9608684ce06e3dc24a05e8ab1a1b9cfc46a1b5	90	0	2	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
a483c6065162d6202fd56b069eaa00b4eb1f0edf65e3599160b9781ea59d6eb2	0	33	0	33	included	predictor-controls-summary-769-1152-v1
a483c6065162d6202fd56b069eaa00b4eb1f0edf65e3599160b9781ea59d6eb2	70	33	0	33	included	predictor-controls-summary-769-1152-v1
a483c6065162d6202fd56b069eaa00b4eb1f0edf65e3599160b9781ea59d6eb2	90	0	33	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
b6d1f09ad6d4e53fefcb5686e389010be7f9153d60e48a315d684f3f09b21fec	0	11	0	11	included	predictor-controls-summary-769-1152-v1
b6d1f09ad6d4e53fefcb5686e389010be7f9153d60e48a315d684f3f09b21fec	70	11	0	11	included	predictor-controls-summary-769-1152-v1
b6d1f09ad6d4e53fefcb5686e389010be7f9153d60e48a315d684f3f09b21fec	90	0	11	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
bd89b29f1dee0ca7f16d34684bef2a87af5a28c4281a644e26bb32d75698b6bd	0	2	0	2	included	predictor-controls-summary-769-1152-v1
bd89b29f1dee0ca7f16d34684bef2a87af5a28c4281a644e26bb32d75698b6bd	70	0	2	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
bd89b29f1dee0ca7f16d34684bef2a87af5a28c4281a644e26bb32d75698b6bd	90	0	2	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
bd8cb57c30a1cbcff373e7e2b8d9c5d1cfee5d5e28aa0b131ce53392844f35a9	0	6	0	6	included	predictor-controls-summary-769-1152-v1
bd8cb57c30a1cbcff373e7e2b8d9c5d1cfee5d5e28aa0b131ce53392844f35a9	70	6	0	6	included	predictor-controls-summary-769-1152-v1
bd8cb57c30a1cbcff373e7e2b8d9c5d1cfee5d5e28aa0b131ce53392844f35a9	90	0	6	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
d2e83bb04e0ae1d30287d074f8ae72b2d8a9d773a5c61e7fb8ec6027a8cc807a	0	3	0	3	included	predictor-controls-summary-769-1152-v1
d2e83bb04e0ae1d30287d074f8ae72b2d8a9d773a5c61e7fb8ec6027a8cc807a	70	3	0	3	included	predictor-controls-summary-769-1152-v1
d2e83bb04e0ae1d30287d074f8ae72b2d8a9d773a5c61e7fb8ec6027a8cc807a	90	0	3	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
d51b4d7b8b361e2fb293c700e23b05e4083bc09e2964443d627e9cd6fd021ad8	0	0	3	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
d51b4d7b8b361e2fb293c700e23b05e4083bc09e2964443d627e9cd6fd021ad8	70	0	3	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
d51b4d7b8b361e2fb293c700e23b05e4083bc09e2964443d627e9cd6fd021ad8	90	0	3	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
dbff9e0a6531af71d18bb3f0b0febfb568f2e863b6861e6daa67f914c7942edf	0	76	5	57	included	predictor-controls-summary-769-1152-v1
dbff9e0a6531af71d18bb3f0b0febfb568f2e863b6861e6daa67f914c7942edf	70	76	5	57	included	predictor-controls-summary-769-1152-v1
dbff9e0a6531af71d18bb3f0b0febfb568f2e863b6861e6daa67f914c7942edf	90	0	81	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
ee2df6f0ad1d4024a32a45cd63663e5131a0f5db5539d359a85c91fdea3cda18	0	38	0	19	included	predictor-controls-summary-769-1152-v1
ee2df6f0ad1d4024a32a45cd63663e5131a0f5db5539d359a85c91fdea3cda18	70	38	0	19	included	predictor-controls-summary-769-1152-v1
ee2df6f0ad1d4024a32a45cd63663e5131a0f5db5539d359a85c91fdea3cda18	90	0	38	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
fe2ef41c38ef7266951644e6481f0310899fda58b257a0a6b0c7c8e3c3cabea4	0	28	0	26	included	predictor-controls-summary-769-1152-v1
fe2ef41c38ef7266951644e6481f0310899fda58b257a0a6b0c7c8e3c3cabea4	70	28	0	26	included	predictor-controls-summary-769-1152-v1
fe2ef41c38ef7266951644e6481f0310899fda58b257a0a6b0c7c8e3c3cabea4	90	0	28	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
